65,     Lewis & Clark,     /boardgame/140620/lewis-clark, 7.453, 7.76, 4149, 2013, 1,     5, 3, 14, 120, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(American West)><(Exploration)><(Racing)>,    <(Strategy Games)>,     <(Card Drafting)><(Deck / Pool Building)><(Hand Management)><(Worker Placement)>
66,     Hansa Teutonica,     /boardgame/43015/hansa-teutonica, 7.452, 7.65, 6166, 2009, 2,     5, 5, 12, 60, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Renaissance)>,    <(Strategy Games)>,     <(Action Point Allowance System)><(Route/Network Building)>
67,     Space Alert,     /boardgame/38453/space-alert, 7.452, 7.61, 8986, 2008, 1,     5, 4, 12, 30, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False,     <(Real-time)><(Science Fiction)><(Space Exploration)>,    <(Thematic Games)>,     <(Action / Movement Programming)><(Area Movement)><(Co-operative Play)><(Hand Management)><(Simultaneous Action Selection)>
68,     The Lord of the Rings: The Card Game,     /boardgame/77423/lord-rings-card-game, 7.452, 7.65, 9771, 2011, 1,     2, 2, 13, 60, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False,     <(Card Game)><(Fantasy)><(Novel-based)>,    <(Customizable Games)>,     <(Co-operative Play)><(Hand Management)><(Variable Player Powers)>
69,     Shogun,     /boardgame/20551/shogun, 7.45, 7.62, 8543, 2006, 3,     5, 4, 12, 150, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False,     <(Economic)><(Territory Building)>,    <(Strategy Games)>,     <(Action / Movement Programming)><(Area Control / Area Influence)><(Area Movement)><(Auction/Bidding)><(Simultaneous Action Selection)><(Variable Phase Order)>
70,     Village,     /boardgame/104006/village, 7.445, 7.61, 8299, 2011, 2,     4, 4, 12, 75, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Farming)><(Medieval)>,    <(Strategy Games)>,     <(Set Collection)><(Worker Placement)>
71,     Ticket to Ride: Nordic Countries,     /boardgame/31627/ticket-ride-nordic-countries, 7.441, 7.69, 5587, 2007, 2,     3, 3, 8, 45, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Trains)><(Transportation)><(Travel)>,    <(Family Games)>,     <(Card Drafting)><(Hand Management)><(Route/Network Building)><(Set Collection)>
72,     Concordia,     /boardgame/124361/concordia, 7.44, 7.83, 3140, 2013, 2,     5, 4, 13, 100, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False,     <(Ancient)><(Economic)><(Nautical)>,    <(Strategy Games)>,     <(Card Drafting)><(Deck / Pool Building)><(Hand Management)><(Point to Point Movement)>
73,     Cosmic Encounter,     /boardgame/39463/cosmic-encounter, 7.439, 7.58, 11928, 2008, 3,     5, 5, 12, 60, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False,     <(Bluffing)><(Negotiation)><(Science Fiction)><(Space Exploration)>,    <(Strategy Games)><(Thematic Games)>,     <(Hand Management)><(Partnerships)><(Variable Player Powers)>
74,     Star Realms,     /boardgame/147020/star-realms, 7.439, 7.78, 4179, 2014, 2,     6,   ?, 12, 20, True, False, False, False, False, True, False, True, False, False, False, False, False, False, False,     <(Card Game)><(Fighting)><(Science Fiction)>,    <(Strategy Games)>,     <(Card Drafting)><(Deck / Pool Building)><(Hand Management)>
75,     Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,     /boardgame/133038/pathfinder-adventure-card-game-rise-runelords-base, 7.432, 7.69, 5884, 2013, 1,     4, 3, 13, 90, True, False, True, False, False, True, False, False, False, False, False, False, False, False, False,     <(Card Game)><(Fantasy)><(Fighting)>,    <(Thematic Games)>,     <(Co-operative Play)><(Deck / Pool Building)><(Dice Rolling)><(Hand Management)><(Role Playing)><(Variable Player Powers)>
